"registro","Order","Speed","CACC","Target.Speed","Acceleration"
2,2,1.59,-0.06,5,1.59
4,4,2.05,-0.11,5,0.46
6,6,2.07,-0.08,5,0.02
8,8,1.64,0.02,5,-0.43
12,12,3.13,-0.16,5,1.49
14,14,3.29,0.07,5,0.16
16,16,3.11,0.07,5,-0.18
17,17,3.17,0.21,5,0.0600000000000001
20,20,3.43,0.27,5,0.26
21,21,3.62,0.34,5,0.19
23,23,3.5,0.42,5,-0.12
25,25,4.21,0.46,5,0.71
27,27,4.66,0.46,5,0.45
29,29,4.94,0.44,5,0.28
31,31,4.95,0.43,5,0.00999999999999979
33,33,5,0.39,5,0.0499999999999998
35,35,5.3,0.31,5,0.3
37,37,5.45,0.15,5,0.15
39,39,5.3,0.16,5,-0.15
41,41,5.28,0.1,5,-0.0199999999999996
43,43,5.47,0.07,5,0.19
45,45,5.61,0.02,5,0.140000000000001
47,47,5.96,-0.06,5,0.35
49,49,5.94,-0.03,5,-0.0199999999999996
51,51,5.55,-0.01,5,-0.390000000000001
53,53,5.41,0,5,-0.14
55,55,5.35,-0.05,5,-0.0600000000000005
57,57,5.45,-0.12,5,0.100000000000001
59,59,5.49,-0.09,5,0.04
61,61,5.26,-0.06,5,-0.23
63,63,5.26,-0.07,5,0
65,65,4,0,5,-1.26
67,67,4.65,-0.02,5,0.65
69,69,5.07,-0.02,5,0.42
71,71,4.68,0.02,5,-0.390000000000001
73,73,4.31,0.03,5,-0.37
75,75,4.63,-0.06,5,0.32
77,77,4.89,-0.14,5,0.26
79,79,4.78,-0.27,5,-0.109999999999999
81,81,4.58,-0.12,5,-0.2
83,83,4.63,-0.07,5,0.0499999999999998
86,86,3.95,-0.12,5,-0.68
88,88,4.26,-0.12,5,0.31
90,90,3.97,-0.19,5,-0.29
92,92,3.81,-0.02,5,-0.16
94,94,3.83,0.07,5,0.02
97,97,3.28,0.21,5,-0.55
99,99,3.93,0.32,5,0.65
101,101,4.32,0.37,5,0.39
103,103,4.46,0.26,5,0.14
